date,max,average,min,precipitation,rain,city
3/21/15,61,57.1,54,0.14,1,0
3/22/15,61,56.4,52,0.19,1,0
3/23/15,63,55.1,48,0.09,1,0
3/24/15,63,54.4,46,0.53,1,0
3/25/15,64,57.2,50,0.00,0,0
3/26/15,70,58.7,50,0.00,0,0
3/27/15,68,60.2,54,0.00,0,0
3/28/15,79,66.1,52,0.00,0,0
3/29/15,82,68.9,55,0.00,0,0
3/30/15,75,65.4,55,0.00,0,0
3/31/15,75,66.5,55,0.00,0,0
4/1/15,81,69,59,0.00,0,0
4/2/15,73,66.5,61,0.00,0,0
4/3/15,66,62.4,57,0.00,0,0
4/4/15,70,63.7,57,0.00,0,0
4/5/15,66,62.8,59,0.00,0,0
4/6/15,64,61.8,59,4.12,1,0
4/7/15,66,61.8,59,0.54,1,0
4/8/15,61,59,57,3.30,1,0
4/9/15,64,61,57,2.12,1,0
4/10/15,64,60.9,57,0.20,1,0
4/11/15,66,60.7,52,0.00,0,0
4/12/15,70,61.8,55,0.00,0,0
4/13/15,70,63.5,55,0.00,0,0
4/14/15,68,63.5,59,0.00,0,0
4/15/15,66,60.7,57,18.86,1,0
4/16/15,68,60.8,54,0.44,1,0
4/17/15,68,61.9,55,0.00,0,0
4/18/15,72,61.7,54,0.00,0,0
4/19/15,72,61.5,52,0.00,0,0
4/20/15,68,62.7,54,0.19,1,0
4/21/15,70,63.9,57,0.00,0,0
4/22/15,66,63.6,59,0.00,0,0
4/23/15,68,62.8,55,0.00,0,0
4/24/15,66,60.8,52,0.65,1,0
4/25/15,68,63.8,61,2.33,1,0
4/26/15,66,63.3,59,7.83,1,0
4/27/15,68,62.5,57,0.37,1,0
4/28/15,68,61.9,55,0.00,0,0
4/29/15,73,63,54,0.00,0,0
4/30/15,70,64.4,57,0.00,0,0
5/1/15,75,67.5,59,0.00,0,0
5/2/15,75,68.1,61,0.00,0,0
5/3/15,70,64.4,59,0.95,1,0
5/4/15,68,64,61,0.55,1,0
